domain,end_pos,full_length,upstream
Met_WT,1377,FALSE,0
TPR,426,TRUE,1
CAPZA2,585,TRUE,1
C8orf34,216,TRUE,1
BAIAP2L1,954,TRUE,1
OXR1,1956,TRUE,1
ST7,1185,TRUE,1
TFG,579,TRUE,1
ATIC,687,TRUE,1
TRIM27,747,TRUE,1
MSN,1344,TRUE,1
CCDC6,303,TRUE,1
QKI,933,TRUE,1
FAM131B,150,TRUE,1
MKRN1,183,TRUE,1
LSM14A,1368,TRUE,1
DNAJB1,210,TRUE,1
TADA2A,1146,TRUE,1
SRGAP3,1434,TRUE,1
ACTB,363,TRUE,1
DDX5,1842,TRUE,1
KLK2,204,TRUE,1
CENPK,288,TRUE,1
CRTC3,132,TRUE,1
ZC3H7B,1137,TRUE,1
YWHAE,714,TRUE,1
CIB81,243,TRUE,1
PDZ,261,TRUE,1
SH2,294,TRUE,1
LOV2,432,TRUE,1
Dmrb,324,TRUE,1
GCN4,843,TRUE,1
TRIM24,1530,TRUE,1
STRN,411,TRUE,1
ARID1A,1137,TRUE,1
PRCC,468,TRUE,1
CBFA2T3,1470,TRUE,1
COL1A1,471,TRUE,1
KrasG12C,567,TRUE,-1
TPR-Met_deltaEx14_stop,1638,TRUE,-1
BCR_ExonBP1,1278,TRUE,1
BCR_ExonBP2,1461,TRUE,1
BCR_ExonBP3,1566,TRUE,1
BCR_ExonBP4,1752,TRUE,1
BCR_ExonBP5,1860,TRUE,1
BCR_ExonBP6,1920,TRUE,1
BCR_ExonBP7,1974,TRUE,1
BCR_ExonBP8,2115,TRUE,1
BCR_ExonBP9,2238,TRUE,1
BCR_ExonBP10,2406,TRUE,1
BCR_ExonBP11,2526,TRUE,1
BCR_ExonBP12,2601,TRUE,1
BCR_ExonBP13,2706,TRUE,1
BCR_ExonBP14,2781,TRUE,1
BCR_ExonBP15,2880,TRUE,1
BCR_ExonBP16,3012,TRUE,1
BCR_ExonBP17,3072,TRUE,1
BCR_ExonBP18,3183,TRUE,1
BCR_ExonBP19,3321,TRUE,1
EML4_ExonBP2,209,TRUE,1
EML4_ExonBP3,339,TRUE,1
EML4_ExonBP4,513,TRUE,1
EML4_ExonBP5,642,TRUE,1
EML4_ExonBP6,666,TRUE,1
EML4_ExonBP7,792,TRUE,1
EML4_ExonBP8,1011,TRUE,1
EML4_ExonBP9,1011,TRUE,1
EML4_ExonBP10,1122,TRUE,1
EML4_ExonBP11,1218,TRUE,1
EML4_ExonBP12,1353,TRUE,1
EML4_ExonBP13,1488,TRUE,1
EML4_ExonBP14,1641,TRUE,1
EML4_ExonBP15,1767,TRUE,1
EML4_ExonBP16,1899,TRUE,1
EML4_ExonBP17,1968,TRUE,1
EML4_ExonBP18,2055,TRUE,1
EML4_ExonBP19,2154,TRUE,1
EML4_ExonBP20,2241,TRUE,1
KIF5B_ExonBP1,126,TRUE,1
KIF5B_ExonBP2,213,TRUE,1
KIF5B_ExonBP3,288,TRUE,1
KIF5B_ExonBP4,393,TRUE,1
KIF5B_ExonBP5,441,TRUE,1
KIF5B_ExonBP6,498,TRUE,1
KIF5B_ExonBP7,585,TRUE,1
KIF5B_ExonBP8,711,TRUE,1
KIF5B_ExonBP9,816,TRUE,1
KIF5B_ExonBP10,963,TRUE,1
KIF5B_ExonBP11,1110,TRUE,1
KIF5B_ExonBP12,1305,TRUE,1
KIF5B_ExonBP13,1374,TRUE,1
KIF5B_ExonBP14,1581,TRUE,1
KIF5B_ExonBP15,1725,TRUE,1
KIF5B_ExonBP16,1914,TRUE,1
KIF5B_ExonBP17,2031,TRUE,1
KIF5B_ExonBP18,2094,TRUE,1
KIF5B_ExonBP19,2205,TRUE,1
KIF5B_ExonBP20,2307,TRUE,1
KIF5B_ExonBP21,2367,TRUE,1
KIF5B_ExonBP22,2439,TRUE,1
KIF5B_ExonBP23,2544,TRUE,1
KIF5B_ExonBP24,2760,TRUE,1
ETV6_ExonBP2,162,TRUE,1
ETV6_ExonBP3,327,TRUE,1
ETV6_ExonBP4,462,TRUE,1
ETV6_ExonBP5,1008,TRUE,1
